"genus","n_species","n_entries","taxon_id","phylo_info_1","phylo_info_2","phylo_info_3","phylo_info_4","phylo_info_5","phylo_info_6","phylo_info_7","phylo_info_8","phylo_info_9","phylo_info_10","phylo_info_11","phylo_info_12","phylo_info_13","phylo_info_14","phylo_info_15","phylo_info_16","phylo_info_17","phylo_info_18","phylo_lineage"
"Centroberyx",1,1,"166262","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Berycimorphaceae","Beryciformes","Berycidae",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Berycimorphaceae; Beryciformes; Berycidae"
"Centropristis",1,1,"184440","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Perciformes","Serranoidei","Serranidae",NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Serranoidei; Serranidae"
"Chaetodon",1,1,"109706","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Chaetodontiformes","Chaetodontidae",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Chaetodontiformes; Chaetodontidae"
"Channa",1,1,"215402","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Anabantaria","Anabantiformes","Channoidei",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Anabantaria; Anabantiformes; Channoidei"
"Chelmon",1,1,"109905","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Chaetodontiformes","Chaetodontidae",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Chaetodontiformes; Chaetodontidae"
"Ciona",1,1,"7719","Eukaryota","Metazoa","Chordata","Tunicata","Ascidiacea","Phlebobranchia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Tunicata; Ascidiacea; Phlebobranchia"
"Clinocottus",1,1,"304258","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Perciformes","Cottioidei","Cottales",NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Cottioidei; Cottales"
"Collichthys",1,1,"240159","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei",NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei"
"Cottoperca",1,1,"56716","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Perciformes","Notothenioidei",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Notothenioidei"
"Crenichthys",1,1,"28760","Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Atherinomorphae","Cyprinodontiformes",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Cyprinodontiformes"
